time(s),Engagement,Memorization,Workload
1.292000,30.0420071286,24.7822391049,17.5532464231
1.296000,30.0420071286,24.7822391049,17.5532464231
1.300000,30.0420071286,24.7822391049,17.5532464231
1.304000,30.0420071286,24.7822391049,17.5532464231
1.308000,30.0420071286,24.7822391049,17.5532464231
1.312000,29.2375078759,25.2721624739,17.3679600803
1.316000,29.2375078759,25.2721624739,17.3679600803
1.320000,29.2375078759,25.2721624739,17.3679600803
1.324000,29.2375078759,25.2721624739,17.3679600803
1.328000,29.2375078759,25.2721624739,17.3679600803
1.332000,29.2375078759,25.2721624739,17.3679600803
1.336000,29.2375078759,25.2721624739,17.3679600803
1.340000,29.2375078759,25.2721624739,17.3679600803
1.344000,30.9325768401,25.8382500417,19.6004746245
1.348000,30.9325768401,25.8382500417,19.6004746245
1.352000,30.9325768401,25.8382500417,19.6004746245
1.356000,30.9325768401,25.8382500417,19.6004746245
1.360000,30.9325768401,25.8382500417,19.6004746245
1.364000,30.9325768401,25.8382500417,19.6004746245
1.368000,30.9325768401,25.8382500417,19.6004746245
1.372000,30.9325768401,25.8382500417,19.6004746245
1.376000,29.5626402711,26.3500496238,18.2992618657
1.380000,29.5626402711,26.3500496238,18.2992618657
1.384000,29.5626402711,26.3500496238,18.2992618657
1.388000,29.5626402711,26.3500496238,18.2992618657
1.392000,29.5626402711,26.3500496238,18.2992618657
1.396000,29.5626402711,26.3500496238,18.2992618657
1.400000,29.5626402711,26.3500496238,18.2992618657
1.404000,29.5626402711,26.3500496238,18.2992618657
1.408000,30.4466565498,25.6393411328,18.3437200655
1.412000,30.4466565498,25.6393411328,18.3437200655
1.416000,30.4466565498,25.6393411328,18.3437200655
1.420000,30.4466565498,25.6393411328,18.3437200655
1.424000,30.4466565498,25.6393411328,18.3437200655
1.428000,30.4466565498,25.6393411328,18.3437200655
1.432000,30.4466565498,25.6393411328,18.3437200655
1.436000,30.4466565498,25.6393411328,18.3437200655
1.440000,29.6049113688,25.1372304498,17.6361545276
1.444000,29.6049113688,25.1372304498,17.6361545276
1.448000,29.6049113688,25.1372304498,17.6361545276
1.452000,29.6049113688,25.1372304498,17.6361545276
1.456000,29.6049113688,25.1372304498,17.6361545276
1.460000,29.6049113688,25.1372304498,17.6361545276
1.464000,29.6049113688,25.1372304498,17.6361545276
1.468000,29.6049113688,25.1372304498,17.6361545276
1.472000,30.3723970073,25.3142788483,20.1454762633
1.476000,30.3723970073,25.3142788483,20.1454762633
1.480000,30.3723970073,25.3142788483,20.1454762633
1.484000,30.3723970073,25.3142788483,20.1454762633
1.488000,30.3723970073,25.3142788483,20.1454762633
1.492000,30.3723970073,25.3142788483,20.1454762633
1.496000,30.3723970073,25.3142788483,20.1454762633
1.500000,30.3723970073,25.3142788483,20.1454762633
1.504000,29.6549726729,25.4289441385,17.9538452358
1.508000,29.6549726729,25.4289441385,17.9538452358
1.512000,29.6549726729,25.4289441385,17.9538452358
1.516000,29.6549726729,25.4289441385,17.9538452358
1.520000,29.6549726729,25.4289441385,17.9538452358
1.524000,29.6549726729,25.4289441385,17.9538452358
